season,week,team,pa
2025,9,NYG,34
2025,10,SEA,22
2025,10,IND,25
2025,10,MIN,27
2025,10,MIA,13
2025,10,NYJ,20
2025,10,WAS,44
2025,10,HOU,29
2025,10,SF,42
2025,10,DEN,7
2025,10,TB,28
2025,10,CAR,17
2025,10,CHI,20
2025,10,GB,10
2025,10,LAC,10
2025,11,CLE,23
2025,11,ATL,30
2025,11,MIN,19
2025,11,PIT,12
2025,11,LV,33
2025,11,PHI,9
2025,11,NYG,27
2025,11,TEN,16
2025,11,DEN,19
2025,11,JAX,6
2025,11,NE,14
2025,11,LA,19
2025,11,ARI,41
2025,11,BUF,32
2025,11,MIA,13
2025,12,NO,24
2025,12,HOU,19
2025,12,SF,9
2025,12,LV,24
2025,12,KC,20
2025,12,ARI,27
2025,12,GB,6
2025,12,CIN,26
2025,12,DET,27
2025,12,BAL,10
2025,12,DAL,21
2025,12,CHI,28
2025,12,TEN,30
2025,12,LA,7
2025,13,TB,17
2025,13,NYJ,24
2025,13,PIT,26
2025,13,PHI,24
2025,13,BAL,32
2025,13,WAS,27
2025,13,DET,31
2025,13,IND,20
2025,13,TEN,25
2025,13,DAL,28
2025,13,CAR,28
2025,13,LAC,14
2025,13,SEA,0
2025,13,MIA,17
2025,13,NE,15
2025,13,CLE,26
2025,14,GB,21
2025,14,BUF,34
2025,14,DET,30
2025,14,LV,24
2025,14,KC,20
2025,14,JAX,19
2025,14,ARI,45
2025,14,NYJ,34
2025,14,TB,24
2025,14,LAC,19
2025,14,BAL,27
2025,14,ATL,37
2025,14,CLE,31
2025,14,MIN,0
2025,15,HOU,20
2025,15,TB,29
2025,15,CIN,24
2025,15,NE,35
2025,15,NO,17
